Country,Life expectancy , BMI ,GDP,Income composition of resources,Schooling
Burundi,59.6,18.7,33.681223,0.406,10.6
Madagascar,65.5,2.5,41.8575951,0.511,10.3
Azerbaijan,72.7,52.5,55.31382,0.758,12.7
Peru,75.5,55.6,63.343259,0.737,13.4
Rwanda,66.1,21.4,71.348397,0.493,10.8
Senegal,66.7,24.3,98.7256145,0.491,9.5
Zimbabwe,67,31.8,118.69383,0.507,10.3
Bangladesh,71.8,18.3,121.15812,0.575,10.2
Kazakhstan,72,53.1,159.9817,0.793,15
Lesotho,53.7,32.6,173.82893,0.495,10.7
Greece,81,66.5,187.78991,0.865,17.2
Vanuatu,72,53.3,285.83414,0.598,10.8
Nicaragua,74.8,54,295.966488,0.642,11.7
Central African Republic,52.5,22.7,348.381417,0.347,7.1
Italy,82.7,63.6,349.14755,0.881,16.3
Niger,61.8,19.3,358.99731,0.351,5.4
Malawi,58.3,19.6,362.6575444,0.473,10.8
Armenia,74.8,54.9,369.654776,0.741,12.7
Paraguay,74,5.2,419.367724,0.692,12.3
Liberia,61.4,27.3,452.38717,0.427,9.9
Tonga,73.5,75.2,493.775387,0.718,14.3
Jordan,74.1,65.6,496.99275,0.741,13.1
Mozambique,57.6,22.6,528.3125597,0.414,9.1
Togo,59.9,24.3,551.138346,0.484,12
Guinea,59,23.3,554.48766,0.414,8.8
Afghanistan,65,19.1,584.25921,0.479,10.1
Sierra Leone,51,24.4,587.538233,0.431,9.5
Guinea-Bissau,58.9,26.3,596.8717189,0.421,9.2
Burkina Faso,59.9,19.4,615.592225,0.399,7.7
Ecuador,76.2,54.2,625.62224,0.739,14
Colombia,74.8,57.9,644.525556,0.724,13.6
Ethiopia,64.8,17.6,645.4637627,0.441,8.4
Uganda,62.3,18.5,693.8963829,0.488,10
Comoros,63.5,24.2,727.6463868,0.498,11.1
Mali,58.2,23.8,729.725338,0.438,8.4
Nepal,69.2,19.1,743.7653489,0.555,12.2
South Sudan,57.3,,758.725782,0.421,4.9
Cuba,79.1,61.4,762.261218,0.773,13.9
Chad,53.1,19.1,777.248751,0.394,7.3
Benin,60,25.7,783.94791,0.481,10.7
Haiti,63.5,49.9,814.5463952,0.49,9.1
Lebanon,74.9,66.1,846.632851,0.763,13.3
China,76.1,32.9,869.211938,0.734,13.5
Tajikistan,69.7,4.7,918.6771543,0.625,11.3
Costa Rica,79.6,6.5,1146.36273,0.775,14.2
Mauritania,63.1,3.8,1158.256469,0.513,8.5
Timor-Leste,68.3,17.4,1161.76935,0.603,12.5
Cambodia,68.7,19.6,1163.18977,0.558,10.9
Myanmar,66.6,23.8,1194.59137,0.552,9.1
Luxembourg,82,61.3,1199.8223,0.896,13.9
Cameroon,57.3,29,1244.429421,0.514,10.4
Zambia,61.8,23.4,1313.889646,0.576,12.5
Equatorial Guinea,58.2,24.5,1347.31257,0.582,9.2
Kenya,63.4,22,1349.97144,0.55,11.1
Ghana,62.4,28.6,1361.11395,0.575,11.4
Kiribati,66.3,77.6,1424.483611,0.586,11.9
Pakistan,66.4,25.4,1431.244865,0.548,8.1
Seychelles,73.2,37.4,1539.464,0.781,14.1
India,68.3,18.7,1613.18878,0.615,11.6
Sao Tome and Principe,67.5,3.9,1624.63963,0.565,11.2
Estonia,77.6,59.9,1774.9291,0.863,16.5
Djibouti,63.5,35,1862.167274,0.47,6.3
Solomon Islands,69.2,5.5,1922.41388,0.514,9.6
Portugal,81.1,61.6,1922.681,0.841,16.6
Turkey,75.8,66.1,1979.52569,0.764,14.5
Ukraine,71.3,61.3,2124.662666,0.748,15.3
Uzbekistan,69.4,44.7,2137.576852,0.697,12.1
Honduras,74.6,51,2326.15856,0.623,11.2
Cyprus,85,6.3,2375.1127,0.854,14.3
Sudan,64.1,,2513.884661,0.488,7.2
Bhutan,69.8,24.5,2613.645177,0.604,12.5
Nigeria,54.5,25.4,2655.157977,0.525,10
Slovenia,88,6.1,2729.86383,0.888,17.3
Saudi Arabia,74.5,68.2,2732.86172,0.845,16.1
Morocco,74.3,58.5,2847.285569,0.645,12.1
Philippines,68.5,25.4,2878.33837,0.679,11.7
Cabo Verde,73.3,31.3,2954.119467,0.646,13.5
Swaziland,58.9,32.3,3136.92511,0.541,11.4
Indonesia,69.1,27.4,3336.16686,0.686,12.9
Angola,52.4,23.3,3695.793748,0.531,11.4
Georgia,74.4,56.2,3764.64912,0.768,13.9
New Zealand,81.6,67.5,3821.8937,0.913,19.2
Tunisia,75.3,61.2,3828.91589,0.723,14.6
Sri Lanka,74.9,23.4,3844.89123,0.764,14
United Arab Emirates,77.1,64.2,3911.74689,0.836,13.3
Guatemala,71.9,5.6,3923.573344,0.637,10.7
Mongolia,68.8,52.7,3944.1839,0.733,14.8
Albania,77.8,58,3954.22783,0.762,14.2
Brunei Darussalam,77.7,41.2,3967.8951,0.864,14.9
El Salvador,73.5,56.1,4127.11775,0.678,13.2
Algeria,75.6,59.5,4132.76292,0.743,14.4
Guyana,66.2,46.7,4136.689919,0.638,10.3
Samoa,74,74.7,4149.363444,0.702,12.9
Finland,81.1,62.1,4245.39744,0.893,17
Belgium,81.1,63.7,4356.875,0.895,16.6
Bosnia and Herzegovina,77.4,55.8,4574.9787,0.747,14.2
Namibia,65.8,35.7,4737.66996,0.637,11.7
Belize,71,5.9,4849.997495,0.706,12.8
Fiji,69.9,62.7,4921.89629,0.734,15.3
Jamaica,76.2,54.2,4965.989857,0.729,12.8
Iraq,68.9,59.1,4974.2693,0.649,10.1
Serbia,75.6,6,5237.255334,0.775,14.4
Denmark,86,58.8,5314.64416,0.923,19.2
Sweden,82.4,59.5,5585.25847,0.909,15.9
Iceland,82.7,61,5734.4436,0.919,19
South Africa,62.9,51.1,5769.77258,0.665,13
Thailand,74.9,33.6,5814.863134,0.738,13.6
Belarus,72.3,62.3,5949.11677,0.798,15.6
Turkmenistan,66.3,48.6,6432.668768,0.688,10.8
Montenegro,76.1,61.8,6461.192554,0.804,15.1
Dominican Republic,73.9,58.9,6468.471648,0.718,13.2
Botswana,65.7,37.9,6532.651,0.698,12.6
Ireland,81.4,62.8,6664.144,0.92,18.6
Bulgaria,74.5,65.7,6993.47736,0.792,15
Gabon,66,36.3,7388.984144,0.694,12.6
Norway,81.8,61.2,7455.24654,0.948,17.7
Maldives,78.5,27.4,8395.785198,0.701,12.7
Brazil,75,56.1,8757.2622,0.754,15.2
Suriname,71.6,58.3,8818.982566,0.723,12.7
Romania,75,6.7,8958.788593,0.798,14.7
Switzerland,83.4,57.4,8989.8424,0.938,16
Mexico,76.7,63.5,9143.128494,0.758,13.3
Grenada,73.6,48.4,9212.192824,0.751,15.8
Mauritius,74.6,33.3,9252.11724,0.779,15.2
Russian Federation,75,6.5,9329.298351,0.805,15
Malaysia,75,4.6,9643.644683,0.787,13.1
Croatia,78,63.7,11579.6674,0.823,15.3
Hungary,75.8,64.8,12365.6263,0.834,15.6
Poland,77.5,61.7,12565.9876,0.852,16.4
Panama,77.8,57.8,13134.4367,0.785,13
Argentina,76.3,62.8,13467.1236,0.826,17.3
Antigua and Barbuda,76.4,47.7,13566.9541,0.784,13.9
Chile,85,63.8,13653.2264,0.845,16.3
Latvia,74.6,61.2,13666.58336,0.828,16
Lithuania,73.6,62.4,14252.42853,0.846,16.5
Uruguay,77,64,15524.84247,0.794,15.5
Barbados,75.5,54.5,15557.8381,0.794,15.3
Oman,76.6,54.6,16627.36433,0.795,13.7
Trinidad and Tobago,71.2,47.1,17321.83373,0.779,12.7
Bahrain,76.9,63.6,22688.87824,0.823,14.5
Malta,81.7,69.6,23819.4636,0.853,14.6
Spain,82.8,66.6,25683.84565,0.882,17.7
Kuwait,74.7,71.4,28975.418,0.799,13.3
Japan,83.7,29,34474.13736,0.902,15.3
Israel,82.5,64.9,35729.37253,0.898,16
France,82.4,62.5,36526.7711,0.894,16.3
Germany,81,62.3,41176.88158,0.924,17.1
Canada,82.2,67,43315.744,0.919,16.3
Austria,81.5,57.6,43665.947,0.892,15.9
Netherlands,81.9,62.1,44292.88473,0.923,18.1
Singapore,83.1,33.2,53629.73746,0.924,15.4
Australia,82.8,66.6,56554.3876,0.937,20.4
Qatar,78.2,69.3,66346.52267,0.855,13.4
